Date,Close, Volume, Open, High, Low
3/1/2010, 29.86 ," 137,312,041.00 ", 29.39 , 29.93 , 29.35 
3/2/2010, 29.84 ," 141,486,282.00 ", 29.99 , 30.12 , 29.68 
3/3/2010, 29.90 ," 92,846,488.00 ", 29.85 , 29.98 , 29.71 
3/4/2010, 30.10 ," 89,591,907.00 ", 29.90 , 30.13 , 29.80 
3/5/2010, 31.28 ," 224,647,427.00 ", 30.71 , 31.39 , 30.66 
3/8/2010, 31.30 ," 107,326,832.00 ", 31.43 , 31.44 , 31.18 
3/9/2010, 31.86 ," 229,908,139.00 ", 31.19 , 32.14 , 31.13 
3/10/2010, 32.12 ," 148,907,755.00 ", 31.98 , 32.21 , 31.89 
3/11/2010, 32.21 ," 101,209,110.00 ", 31.99 , 32.21 , 31.90 
3/12/2010, 32.37 ," 103,841,951.00 ", 32.48 , 32.53 , 32.25 
3/15/2010, 31.98 ," 123,005,437.00 ", 32.20 , 32.21 , 31.46 
3/16/2010, 32.06 ," 111,581,993.00 ", 32.03 , 32.14 , 31.79 
3/17/2010, 32.02 ," 112,501,374.00 ", 32.13 , 32.35 , 31.90 
3/18/2010, 32.09 ," 85,156,076.00 ", 32.01 , 32.14 , 31.80 
3/19/2010, 31.75 ," 139,669,082.00 ", 32.11 , 32.18 , 31.60 
3/22/2010, 32.11 ," 113,828,294.00 ", 31.50 , 32.29 , 31.45 
3/23/2010, 32.62 ," 150,384,825.00 ", 32.23 , 32.68 , 32.01 
3/24/2010, 32.77 ," 149,419,805.00 ", 32.52 , 32.89 , 32.50 
3/25/2010, 32.38 ," 135,463,131.00 ", 32.99 , 33.00 , 32.32 
3/26/2010, 32.99 ," 159,986,658.00 ", 32.71 , 33.14 , 32.65 
3/29/2010, 33.20 ," 130,887,089.00 ", 33.29 , 33.41 , 33.09 
3/30/2010, 33.69 ," 131,326,339.00 ", 33.80 , 33.93 , 33.46 
3/31/2010, 33.57 ," 107,438,412.00 ", 33.64 , 33.80 , 33.49 
4/1/2010, 33.71 ," 150,568,295.00 ", 33.93 , 34.10 , 33.25 
4/5/2010, 34.07 ," 170,363,601.00 ", 33.57 , 34.07 , 33.54 
4/6/2010, 34.22 ," 111,431,983.00 ", 34.03 , 34.32 , 33.86 
4/7/2010, 34.37 ," 156,909,177.00 ", 34.25 , 34.56 , 34.09 
4/8/2010, 34.28 ," 142,899,723.00 ", 34.35 , 34.51 , 34.01 
4/9/2010, 34.54 ," 83,443,105.00 ", 34.49 , 34.56 , 34.35 
4/12/2010, 34.61 ," 83,236,885.00 ", 34.60 , 34.72 , 34.54 
4/13/2010, 34.63 ," 76,184,103.00 ", 34.55 , 34.69 , 34.44 
4/14/2010, 35.10 ," 100,827,750.00 ", 35.04 , 35.12 , 34.87 
4/15/2010, 35.56 ," 93,876,048.00 ", 35.11 , 35.58 , 35.07 
4/16/2010, 35.34 ," 187,514,026.00 ", 35.51 , 35.88 , 34.94 
4/19/2010, 35.30 ," 141,571,402.00 ", 35.29 , 35.41 , 34.54 
4/20/2010, 34.94 ," 177,792,843.00 ", 35.51 , 35.61 , 34.71 
4/21/2010, 37.03 ," 245,072,944.00 ", 36.97 , 37.18 , 36.53 
4/22/2010, 38.07 ," 197,849,809.00 ", 36.89 , 38.11 , 36.60 
4/23/2010, 38.69 ," 198,906,390.00 ", 38.28 , 38.88 , 38.14 
4/26/2010, 38.50 ," 119,378,876.00 ", 38.84 , 38.92 , 38.31 
4/27/2010, 37.43 ," 176,955,713.00 ", 38.18 , 38.26 , 37.22 
4/28/2010, 37.37 ," 189,375,537.00 ", 37.61 , 37.71 , 36.63 
4/29/2010, 38.38 ," 139,522,502.00 ", 37.57 , 38.57 , 37.43 
4/30/2010, 37.30 ," 135,421,971.00 ", 38.47 , 38.65 , 37.29 
5/3/2010, 38.05 ," 113,343,684.00 ", 37.69 , 38.27 , 37.55 
5/4/2010, 36.95 ," 180,620,564.00 ", 37.56 , 37.61 , 36.68 
5/5/2010, 36.57 ," 220,353,346.00 ", 36.15 , 36.88 , 35.53 
5/6/2010, 35.18 ," 319,584,886.00 ", 36.26 , 36.89 , 28.46 
5/7/2010, 33.69 ," 418,562,326.00 ", 34.82 , 35.22 , 32.17 
5/10/2010, 36.28 ," 245,539,284.00 ", 35.75 , 36.38 , 35.50 
5/11/2010, 36.65 ," 212,068,004.00 ", 35.98 , 37.13 , 35.79 
5/12/2010, 37.44 ," 163,385,299.00 ", 37.04 , 37.59 , 36.96 
5/13/2010, 36.91 ," 149,704,075.00 ", 37.60 , 37.86 , 36.63 
5/14/2010, 36.26 ," 189,368,537.00 ", 36.45 , 36.64 , 35.64 
5/17/2010, 36.32 ," 190,413,707.00 ", 36.39 , 36.60 , 35.39 
5/18/2010, 36.05 ," 194,856,888.00 ", 36.71 , 36.94 , 35.75 
5/19/2010, 35.48 ," 256,089,547.00 ", 35.64 , 36.13 , 34.98 
5/20/2010, 33.97 ," 319,497,456.00 ", 34.55 , 34.84 , 33.74 
5/21/2010, 34.62 ," 305,744,272.00 ", 33.26 , 34.93 , 33.05 
5/24/2010, 35.25 ," 188,078,156.00 ", 35.33 , 35.84 , 35.18 
5/25/2010, 35.03 ," 261,342,838.00 ", 34.19 , 35.25 , 33.88 
5/26/2010, 34.87 ," 212,125,404.00 ", 35.73 , 36.02 , 34.82 
5/27/2010, 36.19 ," 165,270,400.00 ", 35.80 , 36.27 , 35.59 
5/28/2010, 36.70 ," 203,645,811.00 ", 37.06 , 37.06 , 36.19 
6/1/2010, 37.26 ," 218,455,576.00 ", 37.10 , 37.99 , 36.99 
6/2/2010, 37.71 ," 171,594,061.00 ", 37.79 , 37.83 , 37.19 
6/3/2010, 37.59 ," 162,341,809.00 ", 37.88 , 37.94 , 37.20 
6/4/2010, 36.57 ," 189,045,767.00 ", 36.89 , 37.41 , 36.38 
6/7/2010, 35.85 ," 221,253,336.00 ", 36.90 , 37.02 , 35.79 
6/8/2010, 35.62 ," 249,904,415.00 ", 36.18 , 36.26 , 35.09 
6/9/2010, 34.74 ," 213,040,094.00 ", 35.92 , 35.99 , 34.64 
6/10/2010, 35.79 ," 193,507,918.00 ", 34.98 , 35.85 , 34.60 
6/11/2010, 36.22 ," 136,154,451.00 ", 35.46 , 36.27 , 35.34 
6/14/2010, 36.33 ," 150,469,315.00 ", 36.57 , 37.02 , 36.29 
6/15/2010, 37.10 ," 145,862,054.00 ", 36.52 , 37.12 , 36.50 
6/16/2010, 38.18 ," 195,557,169.00 ", 37.30 , 38.25 , 37.23 
6/17/2010, 38.84 ," 217,872,895.00 ", 38.66 , 38.99 , 38.50 
6/18/2010, 39.15 ," 195,928,029.00 ", 38.89 , 39.29 , 38.77 
6/21/2010, 38.60 ," 193,217,628.00 ", 39.67 , 39.86 , 38.39 
6/22/2010, 39.12 ," 178,776,694.00 ", 38.88 , 39.42 , 38.79 
6/23/2010, 38.71 ," 191,838,418.00 ", 39.23 , 39.24 , 38.27 
6/24/2010, 38.43 ," 178,309,303.00 ", 38.71 , 39.03 , 38.30 
6/25/2010, 38.10 ," 136,678,611.00 ", 38.58 , 38.61 , 37.97 
6/28/2010, 38.33 ," 146,186,434.00 ", 38.13 , 38.54 , 37.79 
6/29/2010, 36.60 ," 282,782,865.00 ", 37.73 , 37.77 , 36.33 
6/30/2010, 35.93 ," 184,538,045.00 ", 36.67 , 36.85 , 35.72 
7/1/2010, 35.50 ," 255,527,517.00 ", 36.33 , 36.40 , 34.75 
7/2/2010, 35.28 ," 173,446,612.00 ", 35.78 , 35.85 , 34.74 
7/6/2010, 35.52 ," 153,559,326.00 ", 35.86 , 36.11 , 35.17 
7/7/2010, 36.95 ," 163,169,979.00 ", 35.78 , 36.97 , 35.68 
7/8/2010, 36.87 ," 184,252,935.00 ", 37.50 , 37.56 , 36.41 
7/9/2010, 37.09 ," 108,260,072.00 ", 36.70 , 37.13 , 36.45 
7/12/2010, 36.76 ," 140,474,992.00 ", 36.93 , 37.41 , 36.41 
7/13/2010, 35.97 ," 296,797,219.00 ", 36.62 , 36.63 , 35.20 
7/14/2010, 36.10 ," 202,950,851.00 ", 35.63 , 36.54 , 35.57 
7/15/2010, 35.92 ," 205,060,442.00 ", 35.46 , 36.71 , 35.33 
7/16/2010, 35.70 ," 259,540,618.00 ", 36.17 , 36.42 , 35.49 
7/19/2010, 35.08 ," 255,842,447.00 ", 35.70 , 35.70 , 34.23 
7/20/2010, 35.98 ," 263,591,379.00 ", 34.70 , 36.13 , 34.29 
7/21/2010, 36.32 ," 295,973,249.00 ", 37.87 , 37.88 , 36.29 
7/22/2010, 37.00 ," 161,139,628.00 ", 36.81 , 37.14 , 36.47 
7/23/2010, 37.13 ," 133,236,640.00 ", 36.73 , 37.20 , 36.61 
7/26/2010, 37.04 ," 104,188,731.00 ", 37.14 , 37.16 , 36.82 
7/27/2010, 37.73 ," 145,188,934.00 ", 37.27 , 37.83 , 37.19 
7/28/2010, 37.28 ," 129,737,759.00 ", 37.67 , 38.00 , 37.18 
7/29/2010, 36.87 ," 160,834,008.00 ", 37.24 , 37.52 , 36.59 
7/30/2010, 36.75 ," 112,029,784.00 ", 36.56 , 37.10 , 36.41 
8/2/2010, 37.41 ," 106,583,082.00 ", 37.21 , 37.51 , 37.09 
8/3/2010, 37.42 ," 104,082,541.00 ", 37.29 , 37.61 , 37.06 
8/4/2010, 37.57 ," 105,052,042.00 ", 37.55 , 37.75 , 37.19 
8/5/2010, 37.39 ," 72,257,102.00 ", 37.39 , 37.60 , 37.22 
8/6/2010, 37.16 ," 111,151,143.00 ", 37.11 , 37.36 , 36.80 
8/9/2010, 37.39 ," 75,552,633.00 ", 37.35 , 37.45 , 37.08 
8/10/2010, 37.06 ," 112,874,754.00 ", 37.12 , 37.21 , 36.79 
8/11/2010, 35.74 ," 154,454,626.00 ", 36.49 , 36.53 , 35.69 
8/12/2010, 35.97 ," 133,552,620.00 ", 35.24 , 36.16 , 35.16 
8/13/2010, 35.59 ," 88,560,037.00 ", 35.95 , 35.98 , 35.58 
8/16/2010, 35.38 ," 79,420,764.00 ", 35.37 , 35.72 , 35.23 
8/17/2010, 36.00 ," 105,546,662.00 ", 35.73 , 36.38 , 35.60 
8/18/2010, 36.15 ," 84,548,265.00 ", 36.05 , 36.38 , 35.94 
8/19/2010, 35.70 ," 106,533,662.00 ", 36.12 , 36.21 , 35.53 
8/20/2010, 35.66 ," 95,681,559.00 ", 35.63 , 36.27 , 35.57 
8/23/2010, 35.11 ," 103,289,091.00 ", 35.97 , 36.00 , 35.04 
8/24/2010, 34.28 ," 150,183,995.00 ", 34.67 , 34.71 , 34.09 
8/25/2010, 34.70 ," 148,938,905.00 ", 34.01 , 34.86 , 33.89 
8/26/2010, 34.33 ," 116,284,385.00 ", 35.06 , 35.11 , 34.33 
8/27/2010, 34.52 ," 136,758,551.00 ", 34.54 , 34.66 , 33.65 
8/30/2010, 34.64 ," 95,553,599.00 ", 34.39 , 35.11 , 34.38 
8/31/2010, 34.73 ," 104,966,361.00 ", 34.55 , 34.94 , 34.34 
9/1/2010, 35.76 ," 173,960,762.00 ", 35.35 , 35.92 , 35.18 
9/2/2010, 36.02 ," 103,632,581.00 ", 35.89 , 36.02 , 35.51 
9/3/2010, 36.97 ," 130,035,609.00 ", 36.44 , 36.97 , 36.36 
9/7/2010, 36.83 ," 85,565,506.00 ", 36.66 , 37.08 , 36.61 
9/8/2010, 37.56 ," 131,395,709.00 ", 37.11 , 37.77 , 37.01 
9/9/2010, 37.58 ," 109,347,103.00 ", 37.86 , 38.07 , 37.56 
9/10/2010, 37.63 ," 96,849,369.00 ", 37.60 , 37.79 , 37.34 
9/13/2010, 38.15 ," 96,883,319.00 ", 37.97 , 38.33 , 37.97 
9/14/2010, 38.29 ," 101,293,530.00 ", 38.03 , 38.45 , 37.93 
9/15/2010, 38.60 ," 106,805,122.00 ", 38.31 , 38.63 , 38.26 
9/16/2010, 39.51 ," 162,463,819.00 ", 38.61 , 39.52 , 38.50 
9/17/2010, 39.34 ," 157,292,917.00 ", 39.67 , 39.71 , 39.10 
9/20/2010, 40.46 ," 164,490,809.00 ", 39.44 , 40.54 , 39.41 
9/21/2010, 40.54 ," 166,544,330.00 ", 40.55 , 41.05 , 40.40 
